OperatorName,OfficeLineId,OperatorLineId,ClusterName,FromDate,ToDate,ClusterId,LineType,LineTypeDesc,ClusterSubDesc
אגד,10003,3,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10005,5,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10006,6,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10007,7,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10008,8,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10009,9,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10010,10,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10011,11,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10012,12,"מתמ""ז-קריות",01/01/2012,01/01/2200,85,1,עירוני,,
אגד,10013,13,"מתמ""ז-קריות",01/01/2012,01/01/2200,85,1,עירוני,,
אגד,10014,14,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10016,16,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10017,17,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10018,18,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10019,19,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10020,20,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10021,21,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10023,23,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10024,24,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10025,25,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10028,28,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10029,29,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10030,30,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10031,31,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10032,32,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10033,33,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10034,34,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10035,35,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10036,36,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10037,37,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10038,38,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10039,39,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10040,40,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10042,42,חיפה עירוני,16/08/2013,01/01/2200,81,1,עירוני,,
אגד,10043,43,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10045,45,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10046,46,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10047,47,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10049,49,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10060,60,חיפה פרברי,01/01/2013,01/01/2200,83,1,עירוני,,
אגד,10066,66,"מתמ""ז-קריות",01/01/2012,01/01/2200,85,1,עירוני,,
אגד,10068,68,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10069,69,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10070,70,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10071,71,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10072,72,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10073,73,חיפה פרברי,01/01/2013,01/01/2200,83,1,עירוני,,
אגד,10076,76,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10077,77,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10078,78,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10079,79,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10080,80,"מתמ""ז-קריות",01/01/2012,01/01/2200,85,1,עירוני,,
אגד,10081,81,"מתמ""ז-קריות",01/01/2012,01/01/2200,85,1,עירוני,,
אגד,10082,82,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10083,83,חיפה עירוני,26/10/2014,01/01/2200,81,1,עירוני,,
אגד,10084,84,"מתמ""ז-קריות",01/01/2012,01/01/2200,85,1,עירוני,,
אגד,10085,85,"מתמ""ז-קריות",01/01/2012,01/01/2200,85,1,עירוני,,
אגד,10088,88,"מתמ""ז-קריות",04/09/2015,01/01/2200,85,1,עירוני,,
אגד,10089,89,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10091,91,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10092,92,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10093,93,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10096,96,"מתמ""ז-קריות",01/01/2012,01/01/2200,85,1,עירוני,,
אגד,10097,97,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10098,98,"מתמ""ז-קריות",01/01/2012,01/01/2200,85,1,עירוני,,
אגד,10099,99,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10102,102,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10106,106,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10107,107,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10112,112,"רשל""צ פרברי",01/01/2012,01/01/2200,72,1,עירוני,,
אגד,10115,115,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10123,123,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10125,125,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10131,131,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10132,132,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10133,133,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10139,139,תל אביב-אשקלון,01/01/2012,01/01/2200,76,3,בינעירוני,,
אגד,10141,141,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10142,142,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10143,143,חיפה עירוני,01/01/2012,01/01/2200,81,2,אזורי,,
אגד,10144,144,חולון עירוני ומטרופוליני+תחרות חולון,01/01/2012,01/01/2200,71,3,בינעירוני,,
אגד,10146,146,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10150,150,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10160,160,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,3,בינעירוני,,
אגד,10161,161,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10163,163,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,1,עירוני,,
אגד,10164,164,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10165,165,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10166,166,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10167,167,אגד תעבורה-ממוגן,01/01/2012,01/01/2200,114,2,אזורי,,
אגד,10192,192,חולון עירוני ומטרופוליני+תחרות חולון,01/01/2012,01/01/2200,71,1,עירוני,,
אגד,10200,200,חיפה עירוני,01/01/2016,01/01/2200,81,1,עירוני,,
אגד,10201,201,רחובות פרברי,01/01/2012,01/01/2200,75,2,אזורי,,
אגד,10202,202,תל אביב-שרון-חיפה,01/01/2012,01/01/2200,110,3,בינעירוני,,
אגד,10204,204,רחובות פרברי,01/01/2012,01/01/2200,75,3,בינעירוני,,
אגד,10205,205,חיפה עירוני,01/01/2016,01/01/2200,81,1,עירוני,,
אגד,10208,208,חיפה עירוני,01/01/2016,01/01/2200,81,1,עירוני,,
אגד,10210,210,"מתמ""ז-קריות",01/01/2016,01/01/2200,85,1,עירוני,,
אגד,10215,215,"כרמיאל עירוני, כרמיאל-חיפה, חיפה-טבריה",07/06/2012,01/01/2200,89,3,בינעירוני,,
אגד,10220,220,חיפה עירוני,01/01/2016,01/01/2200,81,3,בינעירוני,,
אגד,10221,221,חיפה עירוני,01/01/2016,01/01/2200,81,3,בינעירוני,,
אגד,10226,226,תל אביב-אשקלון,01/01/2012,01/01/2200,76,2,אזורי,,
