service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
35200420,1,1,1,1,1,0,0,20160518,20160717
35206566,0,0,0,0,1,0,0,20160526,20160526
35212049,0,0,0,0,1,0,0,20160526,20160526
35216543,0,0,0,0,1,0,0,20160526,20160526
35222363,1,1,1,1,1,0,0,20160518,20160524
35225536,0,0,0,0,0,0,1,20160518,20160717
35197127,1,0,0,0,0,0,0,20160518,20160717
35228282,0,0,0,0,0,1,0,20160518,20160524
35200421,1,1,1,1,1,0,0,20160518,20160717
35200422,0,0,0,0,0,1,0,20160518,20160717
35200423,1,1,1,1,1,0,0,20160518,20160717
35200424,1,1,1,1,1,0,0,20160518,20160717
35200425,0,0,0,0,0,1,0,20160518,20160717
35200426,1,1,1,1,1,0,0,20160518,20160717
35200427,1,1,1,1,1,0,0,20160518,20160717
35200428,0,1,1,1,1,1,1,20160518,20160717
35200429,0,1,1,1,1,1,0,20160518,20160717
35200430,0,0,0,0,0,0,1,20160518,20160717
35200431,1,1,1,1,0,0,0,20160518,20160717
35200432,0,0,0,0,0,1,0,20160518,20160717
35200433,1,1,1,1,0,0,0,20160518,20160717
35200434,1,1,1,1,1,0,0,20160518,20160717
35200435,0,0,0,0,0,1,0,20160518,20160717
35200436,0,0,0,0,0,0,1,20160518,20160717
35200437,0,0,0,0,1,0,0,20160518,20160717
35200438,0,0,0,0,1,0,0,20160518,20160717
35200439,1,1,1,1,1,0,0,20160518,20160717
35200440,0,0,0,0,1,0,0,20160526,20160526
35200441,0,0,0,1,0,0,0,20160525,20160525
35200442,1,1,1,1,1,0,0,20160527,20160717
35200443,0,0,0,0,0,1,0,20160527,20160717
35200444,0,0,0,0,0,0,1,20160527,20160717
35200445,1,1,1,1,1,0,0,20160518,20160524
35200446,0,0,0,0,0,1,0,20160518,20160524
35200447,0,0,0,1,0,0,0,20160525,20160525
35200448,0,0,0,0,1,0,0,20160526,20160526
35200449,1,1,1,1,1,0,0,20160518,20160524
35200450,0,0,0,0,0,0,1,20160518,20160524
35200451,0,0,0,1,0,0,0,20160525,20160525
35200452,1,1,1,1,1,0,0,20160518,20160524
35200453,0,0,0,0,0,1,0,20160518,20160524
35200454,0,0,0,1,0,0,0,20160525,20160525
35200455,1,1,1,1,1,0,0,20160527,20160717
35200456,0,0,0,0,0,1,0,20160527,20160717
35200457,0,0,0,0,1,0,0,20160526,20160526
35200458,1,1,1,1,1,0,0,20160527,20160717
35200459,0,0,0,0,0,1,0,20160527,20160717
35200460,1,1,1,1,1,0,0,20160518,20160524
35200461,0,0,0,0,0,1,0,20160518,20160524
35200462,0,0,0,1,0,0,0,20160525,20160525
35200463,1,1,1,1,1,0,0,20160527,20160717
35200464,0,0,0,0,0,1,0,20160527,20160717
35200465,1,1,1,1,1,0,0,20160518,20160524
35200466,0,0,0,0,0,1,0,20160518,20160524
35200467,0,0,0,0,0,0,1,20160518,20160524
35200468,0,0,0,0,1,0,0,20160526,20160526
35200469,0,0,0,0,0,0,1,20160518,20160524
35200470,0,0,0,0,0,0,1,20160527,20160717
35200471,0,0,0,0,1,0,0,20160526,20160526
35200472,1,1,1,1,1,0,0,20160527,20160717
35200473,0,0,0,0,0,1,0,20160527,20160717
35200474,1,1,1,1,1,0,0,20160518,20160524
35200475,0,0,0,0,0,1,0,20160518,20160524
35200476,0,0,0,0,0,0,1,20160518,20160524
35200477,0,0,0,1,0,0,0,20160525,20160525
35200478,1,1,1,1,1,0,0,20160527,20160717
35200479,0,0,0,0,0,1,0,20160527,20160717
35200480,0,0,0,0,0,0,1,20160527,20160717
35200481,0,0,0,0,1,0,0,20160526,20160526
35200482,1,1,1,1,1,0,0,20160527,20160717
35200483,0,0,0,0,0,0,1,20160527,20160717
35200484,0,0,0,0,1,0,0,20160526,20160526
35200485,1,1,1,1,1,0,0,20160518,20160524
35200486,0,0,0,0,0,1,0,20160518,20160524
35200487,0,0,0,1,0,0,0,20160525,20160525
35200488,0,0,0,1,0,0,0,20160525,20160525
35200489,0,0,0,0,1,0,0,20160526,20160526
35200490,1,1,1,1,1,0,0,20160527,20160717
35200491,0,0,0,0,0,1,0,20160527,20160717
35200492,0,0,0,0,0,0,1,20160518,20160524
35200493,1,1,1,1,1,0,0,20160518,20160524
35200494,0,0,0,1,0,0,0,20160525,20160525
35200495,0,0,0,0,1,0,0,20160526,20160526
35200496,1,1,1,1,1,0,0,20160518,20160524
35200497,0,0,0,0,0,0,1,20160518,20160524
35200498,0,0,0,1,0,0,0,20160525,20160525
35200499,0,0,0,0,1,0,0,20160526,20160526
35200500,1,1,1,1,1,0,0,20160527,20160717
35200501,0,0,0,0,0,0,1,20160527,20160717
35200502,1,1,1,1,1,0,0,20160518,20160524
35200503,0,0,0,0,0,1,0,20160518,20160524
35200504,0,0,0,1,0,0,0,20160525,20160525
35200505,1,1,1,1,1,0,0,20160518,20160524
35200506,1,1,1,1,1,0,0,20160518,20160524
35200507,0,0,0,0,0,1,0,20160518,20160524
35200508,0,0,0,0,0,0,1,20160518,20160524
35200509,1,1,1,1,1,0,0,20160518,20160524
35200510,0,0,0,0,0,1,0,20160518,20160524
35200511,0,0,0,0,0,0,1,20160518,20160524
35200512,0,0,0,0,1,0,0,20160526,20160526
35200513,1,1,1,1,1,0,0,20160527,20160717
35200514,0,0,0,0,0,1,0,20160527,20160717
35200515,0,0,0,0,0,0,1,20160527,20160717
35200516,1,1,1,1,1,0,0,20160518,20160524
35200517,0,0,0,0,0,1,0,20160518,20160524
35200518,0,0,0,0,0,0,1,20160527,20160717
35200519,1,1,1,1,1,0,0,20160527,20160717
35200520,0,0,0,0,1,0,0,20160526,20160526
35200521,1,1,1,1,1,0,0,20160527,20160717
35200522,0,0,0,0,0,1,0,20160527,20160717
35206567,1,1,1,1,1,0,0,20160527,20160717
35206568,0,0,0,0,1,0,0,20160526,20160526
35206569,1,1,1,1,1,0,0,20160527,20160717
35206570,1,1,1,1,1,0,0,20160518,20160524
35206571,1,1,1,1,1,0,0,20160518,20160524
35206572,0,0,0,1,0,0,0,20160525,20160525
35206573,1,1,1,1,1,1,0,20160518,20160524
35206574,0,0,0,1,0,0,0,20160525,20160525
35206575,0,0,0,0,1,0,0,20160526,20160526
35206576,1,1,1,1,1,1,0,20160527,20160717
35206577,0,0,0,0,1,0,0,20160518,20160524
35206578,1,1,1,1,1,0,0,20160527,20160717
35206579,0,0,0,0,0,1,0,20160527,20160717
35206580,0,0,0,0,1,0,0,20160526,20160717
35206581,1,1,1,1,1,0,0,20160518,20160524
35206582,0,0,0,0,0,1,0,20160518,20160524
35206583,0,0,0,1,0,0,0,20160525,20160525
35206584,0,0,0,0,1,0,0,20160526,20160526
35206585,0,0,0,0,0,1,0,20160518,20160524
35206586,0,0,0,0,0,1,0,20160527,20160717
35206587,1,0,0,0,0,0,0,20160518,20160524
35206588,0,1,1,1,1,0,0,20160518,20160524
35206589,0,0,0,0,0,1,0,20160527,20160717
35206590,1,0,0,0,0,0,0,20160518,20160524
35206591,0,1,1,1,1,0,0,20160518,20160524
35206592,0,0,0,1,0,0,0,20160525,20160525
35206593,0,0,0,0,1,0,0,20160526,20160526
35206594,1,0,0,0,0,0,0,20160527,20160717
35206595,0,1,1,1,1,0,0,20160527,20160717
35206596,0,0,0,1,0,0,0,20160525,20160525
35206597,0,0,0,0,1,0,0,20160526,20160526
35206598,1,0,0,0,0,0,0,20160527,20160717
35206599,0,1,1,1,1,0,0,20160527,20160717
35206600,0,0,0,0,0,1,0,20160518,20160524
35206601,1,0,0,0,0,0,0,20160518,20160524
35206602,0,1,1,1,1,0,0,20160518,20160524
35206603,0,0,0,0,0,1,0,20160518,20160524
35206604,0,0,0,0,0,0,1,20160518,20160524
35206605,1,1,1,1,1,0,0,20160518,20160524
35206606,0,0,0,0,0,1,0,20160518,20160524
35206607,0,0,0,0,0,0,1,20160518,20160524
35206608,0,0,0,0,1,0,0,20160526,20160526
35206609,1,1,1,1,1,0,0,20160527,20160717
35206610,0,0,0,0,0,1,0,20160527,20160717
35206611,0,0,0,0,0,0,1,20160527,20160717
35206612,0,0,0,1,0,0,0,20160525,20160525
35206613,0,0,0,0,1,0,0,20160526,20160526
35206614,1,0,0,0,0,0,0,20160527,20160717
35206615,0,1,1,1,1,0,0,20160527,20160717
35206616,0,0,0,0,0,1,0,20160527,20160717
35206617,0,0,0,0,0,0,1,20160527,20160717
35206618,0,0,0,1,0,0,0,20160525,20160525
35206619,1,1,1,1,1,0,0,20160518,20160524
35206620,0,0,0,1,0,0,0,20160525,20160525
35206621,0,0,0,0,1,0,0,20160526,20160526
35206622,0,0,0,1,0,0,0,20160525,20160525
35206623,0,0,0,0,1,0,0,20160526,20160526
35206624,1,1,1,1,1,0,0,20160527,20160717
35206625,1,1,1,1,1,0,0,20160527,20160717
35206626,1,1,1,1,1,0,0,20160518,20160524
35206627,0,0,0,0,0,1,0,20160518,20160524
35206628,0,0,0,0,0,0,1,20160518,20160524
35206629,1,1,1,1,1,0,0,20160518,20160524
35206630,0,0,0,0,0,0,1,20160518,20160524
35206631,0,0,0,0,0,0,1,20160527,20160717
35206632,1,1,1,1,1,0,0,20160518,20160524
35206633,0,0,0,0,0,1,0,20160518,20160524
