route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
12517,2,,באר שבע-צפון-באר שבע<->דימונה-דימונה,23042-1-0,2,
13871,2,,רחובות-רחובות<->חיפה מרכז-חיפה,24034-2-3,2,
12478,2,,תל אביב מרכז-תל אביב יפו<->מודיעין מרכז-מודיעין מכבים רעות,26025-1-0,2,
12479,2,,מודיעין מרכז-מודיעין מכבים רעות<->תל אביב מרכז-תל אביב יפו,26025-2-0,2,
13867,2,,חיפה מרכז-חיפה<->אשקלון-אשקלון,26031-1-2,2,
12522,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,26050-1-0,2,
12530,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,26050-2-0,2,
13880,2,,נהריה-נהריה<->מודיעין מרכז-מודיעין מכבים רעות,26050-1-11,2,
13883,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,26050-2-4,2,
13885,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,26050-2-6,2,
13886,2,,מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה,26050-2-7,2,
12501,2,,חיפה מרכז-חיפה<->מודיעין מרכז-מודיעין מכבים רעות,27035-1-0,2,
12502,2,,מודיעין מרכז-מודיעין מכבים רעות<->חיפה מרכז-חיפה,27035-2-0,2,
16488,2,,באר שבע מרכז-באר שבע<->הוד השרון-הוד השרון,27039-2-2,2,
13891,2,,נתניה-נתניה<->אשקלון-אשקלון,27060-1-1,2,
13892,2,,אשקלון-אשקלון<->נתניה-נתניה,27060-2-1,2,
16357,2,,אשדוד עד הלום-אשדוד<->הוד השרון-הוד השרון,28052-2-0,2,
15158,2,,הוד השרון-הוד השרון<->נתיבות-נתיבות,28065-1-2,2,
13902,2,,ראשונים-ראשון לציון<->נתניה-נתניה,29064-2-0,2,
12492,2,,חוף הכרמל-חיפה<->עכו-עכו,30032-2-0,2,
15295,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,30040-2-7,2,
15387,2,,באר שבע מרכז-באר שבע<->נהריה-נהריה,30040-2-8,2,
15388,2,,נהריה-נהריה<->באר שבע מרכז-באר שבע,30040-1-5,2,
15750,2,,נהריה-נהריה<->באר שבע מרכז-באר שבע,30040-1-7,2,
12558,2,,אשקלון-אשקלון<->בנימינה-בנימינה גבעת עדה,30072-2-3,2,
12559,2,,בנימינה-בנימינה גבעת עדה<->אשקלון-אשקלון,30072-1-0,2,
13893,2,,בנימינה-בנימינה גבעת עדה<->אשקלון-אשקלון,30072-1-5,2,
13894,2,,בנימינה-בנימינה גבעת עדה<->אשקלון-אשקלון,30072-1-6,2,
12486,2,,באר שבע מרכז-באר שבע<->חיפה מרכז-חיפה,31030-2-0,2,
13861,2,,חיפה מרכז-חיפה<->באר שבע מרכז-באר שבע,31030-1-2,2,
15023,2,,חיפה מרכז-חיפה<->באר שבע מרכז-באר שבע,31030-1-5,2,
12460,2,,תל אביב מרכז-תל אביב יפו<->באר שבע מרכז-באר שבע,32020-1-0,2,
